# Eskala
# Hora del script: 2022-10-05T12:02:17.840415-06:00
# Actualización del servidor: 2022-10-05T14:19:08.717-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1664877600.0	2022-10-04T04:00:00-06:00	0
5	1664881200.0	2022-10-04T05:00:00-06:00	0
6	1664884800.0	2022-10-04T06:00:00-06:00	0
7	1664888400.0	2022-10-04T07:00:00-06:00	9
8	1664892000.0	2022-10-04T08:00:00-06:00	18
9	1664895600.0	2022-10-04T09:00:00-06:00	19
10	1664899200.0	2022-10-04T10:00:00-06:00	17
11	1664902800.0	2022-10-04T11:00:00-06:00	17
12	1664906400.0	2022-10-04T12:00:00-06:00	17
13	1664910000.0	2022-10-04T13:00:00-06:00	18
14	1664913600.0	2022-10-04T14:00:00-06:00	18
15	1664917200.0	2022-10-04T15:00:00-06:00	15
16	1664920800.0	2022-10-04T16:00:00-06:00	12
17	1664924400.0	2022-10-04T17:00:00-06:00	15
18	1664928000.0	2022-10-04T18:00:00-06:00	22
19	1664931600.0	2022-10-04T19:00:00-06:00	26
20	1664935200.0	2022-10-04T20:00:00-06:00	33
21	1664938800.0	2022-10-04T21:00:00-06:00	31
22	1664942400.0	2022-10-04T22:00:00-06:00	27
#75afa4a99df372f0617ff003026853be
