# MIX San Cristóbal
# Hora del script: 2022-10-15T12:02:07.791101-06:00
# Actualización del servidor: 2022-10-15T12:04:10.426-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1665741600.0	2022-10-14T04:00:00-06:00	25
5	1665745200.0	2022-10-14T05:00:00-06:00	37
6	1665748800.0	2022-10-14T06:00:00-06:00	39
7	1665752400.0	2022-10-14T07:00:00-06:00	47
8	1665756000.0	2022-10-14T08:00:00-06:00	45
9	1665759600.0	2022-10-14T09:00:00-06:00	42
10	1665763200.0	2022-10-14T10:00:00-06:00	49
11	1665766800.0	2022-10-14T11:00:00-06:00	44
12	1665770400.0	2022-10-14T12:00:00-06:00	42
13	1665774000.0	2022-10-14T13:00:00-06:00	32
14	1665777600.0	2022-10-14T14:00:00-06:00	40
15	1665781200.0	2022-10-14T15:00:00-06:00	51
16	1665784800.0	2022-10-14T16:00:00-06:00	69
17	1665788400.0	2022-10-14T17:00:00-06:00	78
18	1665792000.0	2022-10-14T18:00:00-06:00	76
19	1665795600.0	2022-10-14T19:00:00-06:00	67
20	1665799200.0	2022-10-14T20:00:00-06:00	46
21	1665802800.0	2022-10-14T21:00:00-06:00	18
22	1665806400.0	2022-10-14T22:00:00-06:00	1
#92682dbde7cc8780886d5f4516ee3200
