# MIX San Cristóbal
# Hora del script: 2023-01-04T12:02:10.546767-06:00
# Actualización del servidor: 2023-01-04T11:37:32.664-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1672740000.0	2023-01-03T04:00:00-06:00	14
5	1672743600.0	2023-01-03T05:00:00-06:00	24
6	1672747200.0	2023-01-03T06:00:00-06:00	31
7	1672750800.0	2023-01-03T07:00:00-06:00	32
8	1672754400.0	2023-01-03T08:00:00-06:00	33
9	1672758000.0	2023-01-03T09:00:00-06:00	32
10	1672761600.0	2023-01-03T10:00:00-06:00	39
11	1672765200.0	2023-01-03T11:00:00-06:00	37
12	1672768800.0	2023-01-03T12:00:00-06:00	36
13	1672772400.0	2023-01-03T13:00:00-06:00	25
14	1672776000.0	2023-01-03T14:00:00-06:00	29
15	1672779600.0	2023-01-03T15:00:00-06:00	37
16	1672783200.0	2023-01-03T16:00:00-06:00	48
17	1672786800.0	2023-01-03T17:00:00-06:00	55
18	1672790400.0	2023-01-03T18:00:00-06:00	56
19	1672794000.0	2023-01-03T19:00:00-06:00	49
20	1672797600.0	2023-01-03T20:00:00-06:00	37
21	1672801200.0	2023-01-03T21:00:00-06:00	13
22	1672804800.0	2023-01-03T22:00:00-06:00	1
#edc3842639f4c8a311b726dade26b0ce
