# MIX San Cristóbal
# Hora del script: 2022-12-14T23:02:11.240944-06:00
# Actualización del servidor: 2022-12-15T00:55:39.444-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1670925600.0	2022-12-13T04:00:00-06:00	22
5	1670929200.0	2022-12-13T05:00:00-06:00	34
6	1670932800.0	2022-12-13T06:00:00-06:00	43
7	1670936400.0	2022-12-13T07:00:00-06:00	41
8	1670940000.0	2022-12-13T08:00:00-06:00	38
9	1670943600.0	2022-12-13T09:00:00-06:00	38
10	1670947200.0	2022-12-13T10:00:00-06:00	46
11	1670950800.0	2022-12-13T11:00:00-06:00	40
12	1670954400.0	2022-12-13T12:00:00-06:00	42
13	1670958000.0	2022-12-13T13:00:00-06:00	29
14	1670961600.0	2022-12-13T14:00:00-06:00	32
15	1670965200.0	2022-12-13T15:00:00-06:00	46
16	1670968800.0	2022-12-13T16:00:00-06:00	63
17	1670972400.0	2022-12-13T17:00:00-06:00	71
18	1670976000.0	2022-12-13T18:00:00-06:00	73
19	1670979600.0	2022-12-13T19:00:00-06:00	59
20	1670983200.0	2022-12-13T20:00:00-06:00	46
21	1670986800.0	2022-12-13T21:00:00-06:00	15
22	1670990400.0	2022-12-13T22:00:00-06:00	1
#61609ae69a7b869fe35fbc53c3c0d81a
