# Miraflores
# Hora del script: 2023-01-28T12:02:09.661935-06:00
# Actualización del servidor: 2023-01-28T14:09:39.754-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674813600.0	2023-01-27T04:00:00-06:00	12
5	1674817200.0	2023-01-27T05:00:00-06:00	29
6	1674820800.0	2023-01-27T06:00:00-06:00	21
7	1674824400.0	2023-01-27T07:00:00-06:00	23
8	1674828000.0	2023-01-27T08:00:00-06:00	22
9	1674831600.0	2023-01-27T09:00:00-06:00	21
10	1674835200.0	2023-01-27T10:00:00-06:00	28
11	1674838800.0	2023-01-27T11:00:00-06:00	31
12	1674842400.0	2023-01-27T12:00:00-06:00	25
13	1674846000.0	2023-01-27T13:00:00-06:00	25
14	1674849600.0	2023-01-27T14:00:00-06:00	26
15	1674853200.0	2023-01-27T15:00:00-06:00	31
16	1674856800.0	2023-01-27T16:00:00-06:00	46
17	1674860400.0	2023-01-27T17:00:00-06:00	65
18	1674864000.0	2023-01-27T18:00:00-06:00	60
19	1674867600.0	2023-01-27T19:00:00-06:00	59
20	1674871200.0	2023-01-27T20:00:00-06:00	37
21	1674874800.0	2023-01-27T21:00:00-06:00	16
22	1674878400.0	2023-01-27T22:00:00-06:00	1
#117c7e544a964accac7475c730cfe73d
