# MIX San Cristóbal
# Hora del script: 2022-10-31T23:02:11.718625-06:00
# Actualización del servidor: 2022-10-31T22:14:19.098-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1666951200.0	2022-10-28T04:00:00-06:00	24
5	1666954800.0	2022-10-28T05:00:00-06:00	39
6	1666958400.0	2022-10-28T06:00:00-06:00	44
7	1666962000.0	2022-10-28T07:00:00-06:00	51
8	1666965600.0	2022-10-28T08:00:00-06:00	49
9	1666969200.0	2022-10-28T09:00:00-06:00	49
10	1666972800.0	2022-10-28T10:00:00-06:00	52
11	1666976400.0	2022-10-28T11:00:00-06:00	49
12	1666980000.0	2022-10-28T12:00:00-06:00	44
13	1666983600.0	2022-10-28T13:00:00-06:00	34
14	1666987200.0	2022-10-28T14:00:00-06:00	38
15	1666990800.0	2022-10-28T15:00:00-06:00	48
16	1666994400.0	2022-10-28T16:00:00-06:00	69
17	1666998000.0	2022-10-28T17:00:00-06:00	72
18	1667001600.0	2022-10-28T18:00:00-06:00	72
19	1667005200.0	2022-10-28T19:00:00-06:00	65
20	1667008800.0	2022-10-28T20:00:00-06:00	46
21	1667012400.0	2022-10-28T21:00:00-06:00	17
22	1667016000.0	2022-10-28T22:00:00-06:00	1
#b9ee7b42c1c48283279f765956757eb4
