# MIX San Cristóbal
# Hora del script: 2023-01-20T12:02:11.801729-06:00
# Actualización del servidor: 2023-01-20T15:02:09.434-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674122400.0	2023-01-19T04:00:00-06:00	20
5	1674126000.0	2023-01-19T05:00:00-06:00	36
6	1674129600.0	2023-01-19T06:00:00-06:00	36
7	1674133200.0	2023-01-19T07:00:00-06:00	38
8	1674136800.0	2023-01-19T08:00:00-06:00	41
9	1674140400.0	2023-01-19T09:00:00-06:00	39
10	1674144000.0	2023-01-19T10:00:00-06:00	45
11	1674147600.0	2023-01-19T11:00:00-06:00	45
12	1674151200.0	2023-01-19T12:00:00-06:00	43
13	1674154800.0	2023-01-19T13:00:00-06:00	33
14	1674158400.0	2023-01-19T14:00:00-06:00	37
15	1674162000.0	2023-01-19T15:00:00-06:00	49
16	1674165600.0	2023-01-19T16:00:00-06:00	61
17	1674169200.0	2023-01-19T17:00:00-06:00	76
18	1674172800.0	2023-01-19T18:00:00-06:00	75
19	1674176400.0	2023-01-19T19:00:00-06:00	60
20	1674180000.0	2023-01-19T20:00:00-06:00	52
21	1674183600.0	2023-01-19T21:00:00-06:00	16
22	1674187200.0	2023-01-19T22:00:00-06:00	1
#1bca7f652b8e1340227eaf9f8ae5558e
