# Miraflores
# Hora del script: 2022-12-26T12:02:16.120186-06:00
# Actualización del servidor: 2022-12-26T13:20:13.215-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1671789600.0	2022-12-23T04:00:00-06:00	10
5	1671793200.0	2022-12-23T05:00:00-06:00	17
6	1671796800.0	2022-12-23T06:00:00-06:00	15
7	1671800400.0	2022-12-23T07:00:00-06:00	18
8	1671804000.0	2022-12-23T08:00:00-06:00	17
9	1671807600.0	2022-12-23T09:00:00-06:00	19
10	1671811200.0	2022-12-23T10:00:00-06:00	19
11	1671814800.0	2022-12-23T11:00:00-06:00	22
12	1671818400.0	2022-12-23T12:00:00-06:00	19
13	1671822000.0	2022-12-23T13:00:00-06:00	18
14	1671825600.0	2022-12-23T14:00:00-06:00	16
15	1671829200.0	2022-12-23T15:00:00-06:00	19
16	1671832800.0	2022-12-23T16:00:00-06:00	28
17	1671836400.0	2022-12-23T17:00:00-06:00	42
18	1671840000.0	2022-12-23T18:00:00-06:00	37
19	1671843600.0	2022-12-23T19:00:00-06:00	32
20	1671847200.0	2022-12-23T20:00:00-06:00	25
21	1671850800.0	2022-12-23T21:00:00-06:00	12
22	1671854400.0	2022-12-23T22:00:00-06:00	1
#63616d622daba20b6bc17cfc2c5ce3f8
