# Tikal Futura
# Hora del script: 2023-01-20T23:02:14.273365-06:00
# Actualización del servidor: 2023-01-21T01:23:42.742-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674122400.0	2023-01-19T04:00:00-06:00	23
5	1674126000.0	2023-01-19T05:00:00-06:00	35
6	1674129600.0	2023-01-19T06:00:00-06:00	30
7	1674133200.0	2023-01-19T07:00:00-06:00	22
8	1674136800.0	2023-01-19T08:00:00-06:00	25
9	1674140400.0	2023-01-19T09:00:00-06:00	26
10	1674144000.0	2023-01-19T10:00:00-06:00	34
11	1674147600.0	2023-01-19T11:00:00-06:00	31
12	1674151200.0	2023-01-19T12:00:00-06:00	29
13	1674154800.0	2023-01-19T13:00:00-06:00	22
14	1674158400.0	2023-01-19T14:00:00-06:00	22
15	1674162000.0	2023-01-19T15:00:00-06:00	31
16	1674165600.0	2023-01-19T16:00:00-06:00	44
17	1674169200.0	2023-01-19T17:00:00-06:00	72
18	1674172800.0	2023-01-19T18:00:00-06:00	62
19	1674176400.0	2023-01-19T19:00:00-06:00	48
20	1674180000.0	2023-01-19T20:00:00-06:00	30
21	1674183600.0	2023-01-19T21:00:00-06:00	9
22	1674187200.0	2023-01-19T22:00:00-06:00	1
#1932adcdb913910167176a112a56b157
