# MIX San Cristóbal
# Hora del script: 2022-08-08T12:02:07.926176-06:00
# Actualización del servidor: 2022-08-08T12:36:56.090-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1659693600.0	2022-08-05T04:00:00-06:00	24
5	1659697200.0	2022-08-05T05:00:00-06:00	47
6	1659700800.0	2022-08-05T06:00:00-06:00	49
7	1659704400.0	2022-08-05T07:00:00-06:00	48
8	1659708000.0	2022-08-05T08:00:00-06:00	46
9	1659711600.0	2022-08-05T09:00:00-06:00	45
10	1659715200.0	2022-08-05T10:00:00-06:00	49
11	1659718800.0	2022-08-05T11:00:00-06:00	47
12	1659722400.0	2022-08-05T12:00:00-06:00	43
13	1659726000.0	2022-08-05T13:00:00-06:00	37
14	1659729600.0	2022-08-05T14:00:00-06:00	49
15	1659733200.0	2022-08-05T15:00:00-06:00	57
16	1659736800.0	2022-08-05T16:00:00-06:00	79
17	1659740400.0	2022-08-05T17:00:00-06:00	85
18	1659744000.0	2022-08-05T18:00:00-06:00	83
19	1659747600.0	2022-08-05T19:00:00-06:00	73
20	1659751200.0	2022-08-05T20:00:00-06:00	63
21	1659754800.0	2022-08-05T21:00:00-06:00	23
22	1659758400.0	2022-08-05T22:00:00-06:00	1
#60e07e7b235a6199adabcd7edc792bc7
