# Miraflores
# Hora del script: 2023-01-19T23:02:18.274435-06:00
# Actualización del servidor: 2023-01-20T00:44:13.529-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674036000.0	2023-01-18T04:00:00-06:00	10
5	1674039600.0	2023-01-18T05:00:00-06:00	22
6	1674043200.0	2023-01-18T06:00:00-06:00	16
7	1674046800.0	2023-01-18T07:00:00-06:00	19
8	1674050400.0	2023-01-18T08:00:00-06:00	18
9	1674054000.0	2023-01-18T09:00:00-06:00	19
10	1674057600.0	2023-01-18T10:00:00-06:00	25
11	1674061200.0	2023-01-18T11:00:00-06:00	26
12	1674064800.0	2023-01-18T12:00:00-06:00	22
13	1674068400.0	2023-01-18T13:00:00-06:00	22
14	1674072000.0	2023-01-18T14:00:00-06:00	21
15	1674075600.0	2023-01-18T15:00:00-06:00	27
16	1674079200.0	2023-01-18T16:00:00-06:00	36
17	1674082800.0	2023-01-18T17:00:00-06:00	52
18	1674086400.0	2023-01-18T18:00:00-06:00	49
19	1674090000.0	2023-01-18T19:00:00-06:00	47
20	1674093600.0	2023-01-18T20:00:00-06:00	29
21	1674097200.0	2023-01-18T21:00:00-06:00	14
22	1674100800.0	2023-01-18T22:00:00-06:00	1
#219a1f825446bc3926cb988c3c3c0833
