# Eskala
# Hora del script: 2022-09-27T12:03:27.499880-06:00
# Actualización del servidor: 2022-09-27T15:03:26.097-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1664186400.0	2022-09-26T04:00:00-06:00	0
5	1664190000.0	2022-09-26T05:00:00-06:00	0
6	1664193600.0	2022-09-26T06:00:00-06:00	0
7	1664197200.0	2022-09-26T07:00:00-06:00	2
8	1664200800.0	2022-09-26T08:00:00-06:00	5
9	1664204400.0	2022-09-26T09:00:00-06:00	5
10	1664208000.0	2022-09-26T10:00:00-06:00	6
11	1664211600.0	2022-09-26T11:00:00-06:00	6
12	1664215200.0	2022-09-26T12:00:00-06:00	8
13	1664218800.0	2022-09-26T13:00:00-06:00	7
14	1664222400.0	2022-09-26T14:00:00-06:00	8
15	1664226000.0	2022-09-26T15:00:00-06:00	7
16	1664229600.0	2022-09-26T16:00:00-06:00	5
17	1664233200.0	2022-09-26T17:00:00-06:00	5
18	1664236800.0	2022-09-26T18:00:00-06:00	7
19	1664240400.0	2022-09-26T19:00:00-06:00	9
20	1664244000.0	2022-09-26T20:00:00-06:00	10
21	1664247600.0	2022-09-26T21:00:00-06:00	10
22	1664251200.0	2022-09-26T22:00:00-06:00	9
#05e35e9ca065da83cc53e916a4459cc7
