# Eskala
# Hora del script: 2023-01-24T12:02:20.067445-06:00
# Actualización del servidor: 2023-01-24T15:02:18.516-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674468000.0	2023-01-23T04:00:00-06:00	17
5	1674471600.0	2023-01-23T05:00:00-06:00	38
6	1674475200.0	2023-01-23T06:00:00-06:00	38
7	1674478800.0	2023-01-23T07:00:00-06:00	38
8	1674482400.0	2023-01-23T08:00:00-06:00	33
9	1674486000.0	2023-01-23T09:00:00-06:00	30
10	1674489600.0	2023-01-23T10:00:00-06:00	43
11	1674493200.0	2023-01-23T11:00:00-06:00	42
12	1674496800.0	2023-01-23T12:00:00-06:00	38
13	1674500400.0	2023-01-23T13:00:00-06:00	28
14	1674504000.0	2023-01-23T14:00:00-06:00	31
15	1674507600.0	2023-01-23T15:00:00-06:00	44
16	1674511200.0	2023-01-23T16:00:00-06:00	61
17	1674514800.0	2023-01-23T17:00:00-06:00	74
18	1674518400.0	2023-01-23T18:00:00-06:00	77
19	1674522000.0	2023-01-23T19:00:00-06:00	67
20	1674525600.0	2023-01-23T20:00:00-06:00	53
21	1674529200.0	2023-01-23T21:00:00-06:00	16
22	1674532800.0	2023-01-23T22:00:00-06:00	3
#aafdb72ba571f2fb8c541fffcdabaa5d
