# MIX San Cristóbal
# Hora del script: 2022-09-02T23:02:11.493384-06:00
# Actualización del servidor: 2022-09-02T22:26:03.740-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1662026400.0	2022-09-01T04:00:00-06:00	31
5	1662030000.0	2022-09-01T05:00:00-06:00	50
6	1662033600.0	2022-09-01T06:00:00-06:00	47
7	1662037200.0	2022-09-01T07:00:00-06:00	48
8	1662040800.0	2022-09-01T08:00:00-06:00	49
9	1662044400.0	2022-09-01T09:00:00-06:00	47
10	1662048000.0	2022-09-01T10:00:00-06:00	55
11	1662051600.0	2022-09-01T11:00:00-06:00	49
12	1662055200.0	2022-09-01T12:00:00-06:00	46
13	1662058800.0	2022-09-01T13:00:00-06:00	42
14	1662062400.0	2022-09-01T14:00:00-06:00	55
15	1662066000.0	2022-09-01T15:00:00-06:00	62
16	1662069600.0	2022-09-01T16:00:00-06:00	83
17	1662073200.0	2022-09-01T17:00:00-06:00	91
18	1662076800.0	2022-09-01T18:00:00-06:00	90
19	1662080400.0	2022-09-01T19:00:00-06:00	80
20	1662084000.0	2022-09-01T20:00:00-06:00	63
21	1662087600.0	2022-09-01T21:00:00-06:00	26
22	1662091200.0	2022-09-01T22:00:00-06:00	1
#7f11b9455261b927e0641bf43d092c83
