# MIX San Cristóbal
# Hora del script: 2022-08-28T23:02:12.213282-06:00
# Actualización del servidor: 2022-08-28T23:24:25.634-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1661508000.0	2022-08-26T04:00:00-06:00	29
5	1661511600.0	2022-08-26T05:00:00-06:00	48
6	1661515200.0	2022-08-26T06:00:00-06:00	48
7	1661518800.0	2022-08-26T07:00:00-06:00	47
8	1661522400.0	2022-08-26T08:00:00-06:00	51
9	1661526000.0	2022-08-26T09:00:00-06:00	46
10	1661529600.0	2022-08-26T10:00:00-06:00	55
11	1661533200.0	2022-08-26T11:00:00-06:00	49
12	1661536800.0	2022-08-26T12:00:00-06:00	47
13	1661540400.0	2022-08-26T13:00:00-06:00	41
14	1661544000.0	2022-08-26T14:00:00-06:00	54
15	1661547600.0	2022-08-26T15:00:00-06:00	59
16	1661551200.0	2022-08-26T16:00:00-06:00	79
17	1661554800.0	2022-08-26T17:00:00-06:00	86
18	1661558400.0	2022-08-26T18:00:00-06:00	85
19	1661562000.0	2022-08-26T19:00:00-06:00	76
20	1661565600.0	2022-08-26T20:00:00-06:00	61
21	1661569200.0	2022-08-26T21:00:00-06:00	24
22	1661572800.0	2022-08-26T22:00:00-06:00	1
#4f061e73e1b56f722f3a2c22aff37f2f
