# Miraflores
# Hora del script: 2023-01-15T23:02:14.873163-06:00
# Actualización del servidor: 2023-01-16T00:30:18.256-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1673604000.0	2023-01-13T04:00:00-06:00	9
5	1673607600.0	2023-01-13T05:00:00-06:00	18
6	1673611200.0	2023-01-13T06:00:00-06:00	14
7	1673614800.0	2023-01-13T07:00:00-06:00	17
8	1673618400.0	2023-01-13T08:00:00-06:00	16
9	1673622000.0	2023-01-13T09:00:00-06:00	18
10	1673625600.0	2023-01-13T10:00:00-06:00	23
11	1673629200.0	2023-01-13T11:00:00-06:00	24
12	1673632800.0	2023-01-13T12:00:00-06:00	21
13	1673636400.0	2023-01-13T13:00:00-06:00	21
14	1673640000.0	2023-01-13T14:00:00-06:00	18
15	1673643600.0	2023-01-13T15:00:00-06:00	23
16	1673647200.0	2023-01-13T16:00:00-06:00	29
17	1673650800.0	2023-01-13T17:00:00-06:00	43
18	1673654400.0	2023-01-13T18:00:00-06:00	40
19	1673658000.0	2023-01-13T19:00:00-06:00	38
20	1673661600.0	2023-01-13T20:00:00-06:00	25
21	1673665200.0	2023-01-13T21:00:00-06:00	12
22	1673668800.0	2023-01-13T22:00:00-06:00	1
#0bf461f8bbf1aac81ae3a614d714d68f
