# Eskala
# Hora del script: 2023-02-09T12:02:20.023364-06:00
# Actualización del servidor: 2023-02-09T12:58:49.224-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1675850400.0	2023-02-08T04:00:00-06:00	24
5	1675854000.0	2023-02-08T05:00:00-06:00	60
6	1675857600.0	2023-02-08T06:00:00-06:00	54
7	1675861200.0	2023-02-08T07:00:00-06:00	56
8	1675864800.0	2023-02-08T08:00:00-06:00	44
9	1675868400.0	2023-02-08T09:00:00-06:00	38
10	1675872000.0	2023-02-08T10:00:00-06:00	47
11	1675875600.0	2023-02-08T11:00:00-06:00	49
12	1675879200.0	2023-02-08T12:00:00-06:00	44
13	1675882800.0	2023-02-08T13:00:00-06:00	34
14	1675886400.0	2023-02-08T14:00:00-06:00	35
15	1675890000.0	2023-02-08T15:00:00-06:00	54
16	1675893600.0	2023-02-08T16:00:00-06:00	76
17	1675897200.0	2023-02-08T17:00:00-06:00	92
18	1675900800.0	2023-02-08T18:00:00-06:00	101
19	1675904400.0	2023-02-08T19:00:00-06:00	81
20	1675908000.0	2023-02-08T20:00:00-06:00	71
21	1675911600.0	2023-02-08T21:00:00-06:00	20
22	1675915200.0	2023-02-08T22:00:00-06:00	3
#27a73981a7b6de9e1ed5121912b23993
