# Tikal Futura
# Hora del script: 2022-10-13T12:02:13.665042-06:00
# Actualización del servidor: 2022-10-13T13:38:19.189-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1665568800.0	2022-10-12T04:00:00-06:00	26
5	1665572400.0	2022-10-12T05:00:00-06:00	51
6	1665576000.0	2022-10-12T06:00:00-06:00	38
7	1665579600.0	2022-10-12T07:00:00-06:00	35
8	1665583200.0	2022-10-12T08:00:00-06:00	31
9	1665586800.0	2022-10-12T09:00:00-06:00	33
10	1665590400.0	2022-10-12T10:00:00-06:00	40
11	1665594000.0	2022-10-12T11:00:00-06:00	39
12	1665597600.0	2022-10-12T12:00:00-06:00	38
13	1665601200.0	2022-10-12T13:00:00-06:00	27
14	1665604800.0	2022-10-12T14:00:00-06:00	28
15	1665608400.0	2022-10-12T15:00:00-06:00	40
16	1665612000.0	2022-10-12T16:00:00-06:00	53
17	1665615600.0	2022-10-12T17:00:00-06:00	79
18	1665619200.0	2022-10-12T18:00:00-06:00	71
19	1665622800.0	2022-10-12T19:00:00-06:00	53
20	1665626400.0	2022-10-12T20:00:00-06:00	40
21	1665630000.0	2022-10-12T21:00:00-06:00	13
22	1665633600.0	2022-10-12T22:00:00-06:00	1
#b0a602fd08c6465fac5d838b2975c794
