# MIX San Cristóbal
# Hora del script: 2022-07-18T23:03:16.596836-06:00
# Actualización del servidor: 2022-07-18T23:18:33.712-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1657879200.0	2022-07-15T04:00:00-06:00	17
5	1657882800.0	2022-07-15T05:00:00-06:00	36
6	1657886400.0	2022-07-15T06:00:00-06:00	45
7	1657890000.0	2022-07-15T07:00:00-06:00	38
8	1657893600.0	2022-07-15T08:00:00-06:00	44
9	1657897200.0	2022-07-15T09:00:00-06:00	42
10	1657900800.0	2022-07-15T10:00:00-06:00	46
11	1657904400.0	2022-07-15T11:00:00-06:00	47
12	1657908000.0	2022-07-15T12:00:00-06:00	42
13	1657911600.0	2022-07-15T13:00:00-06:00	36
14	1657915200.0	2022-07-15T14:00:00-06:00	44
15	1657918800.0	2022-07-15T15:00:00-06:00	50
16	1657922400.0	2022-07-15T16:00:00-06:00	68
17	1657926000.0	2022-07-15T17:00:00-06:00	82
18	1657929600.0	2022-07-15T18:00:00-06:00	75
19	1657933200.0	2022-07-15T19:00:00-06:00	64
20	1657936800.0	2022-07-15T20:00:00-06:00	47
21	1657940400.0	2022-07-15T21:00:00-06:00	17
22	1657944000.0	2022-07-15T22:00:00-06:00	1
#00f02a7c6f3ced3bbeafd261f155a626
