# Miraflores
# Hora del script: 2022-10-20T23:02:14.780730-06:00
# Actualización del servidor: 2022-10-21T01:56:08.392-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1666173600.0	2022-10-19T04:00:00-06:00	17
5	1666177200.0	2022-10-19T05:00:00-06:00	32
6	1666180800.0	2022-10-19T06:00:00-06:00	22
7	1666184400.0	2022-10-19T07:00:00-06:00	21
8	1666188000.0	2022-10-19T08:00:00-06:00	25
9	1666191600.0	2022-10-19T09:00:00-06:00	22
10	1666195200.0	2022-10-19T10:00:00-06:00	28
11	1666198800.0	2022-10-19T11:00:00-06:00	29
12	1666202400.0	2022-10-19T12:00:00-06:00	26
13	1666206000.0	2022-10-19T13:00:00-06:00	25
14	1666209600.0	2022-10-19T14:00:00-06:00	25
15	1666213200.0	2022-10-19T15:00:00-06:00	34
16	1666216800.0	2022-10-19T16:00:00-06:00	49
17	1666220400.0	2022-10-19T17:00:00-06:00	58
18	1666224000.0	2022-10-19T18:00:00-06:00	69
19	1666227600.0	2022-10-19T19:00:00-06:00	57
20	1666231200.0	2022-10-19T20:00:00-06:00	40
21	1666234800.0	2022-10-19T21:00:00-06:00	14
22	1666238400.0	2022-10-19T22:00:00-06:00	1
#825e82f6c658f01943232d199ee9bf04
