# Eskala
# Hora del script: 2023-01-03T23:02:16.882697-06:00
# Actualización del servidor: 2023-01-03T22:17:29.689-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1672653600.0	2023-01-02T04:00:00-06:00	10
5	1672657200.0	2023-01-02T05:00:00-06:00	21
6	1672660800.0	2023-01-02T06:00:00-06:00	29
7	1672664400.0	2023-01-02T07:00:00-06:00	30
8	1672668000.0	2023-01-02T08:00:00-06:00	27
9	1672671600.0	2023-01-02T09:00:00-06:00	25
10	1672675200.0	2023-01-02T10:00:00-06:00	33
11	1672678800.0	2023-01-02T11:00:00-06:00	33
12	1672682400.0	2023-01-02T12:00:00-06:00	29
13	1672686000.0	2023-01-02T13:00:00-06:00	20
14	1672689600.0	2023-01-02T14:00:00-06:00	20
15	1672693200.0	2023-01-02T15:00:00-06:00	32
16	1672696800.0	2023-01-02T16:00:00-06:00	37
17	1672700400.0	2023-01-02T17:00:00-06:00	50
18	1672704000.0	2023-01-02T18:00:00-06:00	54
19	1672707600.0	2023-01-02T19:00:00-06:00	46
20	1672711200.0	2023-01-02T20:00:00-06:00	35
21	1672714800.0	2023-01-02T21:00:00-06:00	12
22	1672718400.0	2023-01-02T22:00:00-06:00	2
#0a7592c3484af0faac23118d141578c8
