# MIX San Cristóbal
# Hora del script: 2022-09-06T23:02:09.594735-06:00
# Actualización del servidor: 2022-09-06T22:04:09.784-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1662372000.0	2022-09-05T04:00:00-06:00	29
5	1662375600.0	2022-09-05T05:00:00-06:00	43
6	1662379200.0	2022-09-05T06:00:00-06:00	43
7	1662382800.0	2022-09-05T07:00:00-06:00	44
8	1662386400.0	2022-09-05T08:00:00-06:00	50
9	1662390000.0	2022-09-05T09:00:00-06:00	47
10	1662393600.0	2022-09-05T10:00:00-06:00	55
11	1662397200.0	2022-09-05T11:00:00-06:00	48
12	1662400800.0	2022-09-05T12:00:00-06:00	46
13	1662404400.0	2022-09-05T13:00:00-06:00	40
14	1662408000.0	2022-09-05T14:00:00-06:00	49
15	1662411600.0	2022-09-05T15:00:00-06:00	56
16	1662415200.0	2022-09-05T16:00:00-06:00	71
17	1662418800.0	2022-09-05T17:00:00-06:00	82
18	1662422400.0	2022-09-05T18:00:00-06:00	81
19	1662426000.0	2022-09-05T19:00:00-06:00	71
20	1662429600.0	2022-09-05T20:00:00-06:00	57
21	1662433200.0	2022-09-05T21:00:00-06:00	23
22	1662436800.0	2022-09-05T22:00:00-06:00	1
#37b5b73e3fa659ad5824b683385f16ec
