# MIX San Cristóbal
# Hora del script: 2022-09-14T23:02:11.670760-06:00
# Actualización del servidor: 2022-09-14T22:25:46.809-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1663063200.0	2022-09-13T04:00:00-06:00	32
5	1663066800.0	2022-09-13T05:00:00-06:00	44
6	1663070400.0	2022-09-13T06:00:00-06:00	42
7	1663074000.0	2022-09-13T07:00:00-06:00	46
8	1663077600.0	2022-09-13T08:00:00-06:00	50
9	1663081200.0	2022-09-13T09:00:00-06:00	47
10	1663084800.0	2022-09-13T10:00:00-06:00	54
11	1663088400.0	2022-09-13T11:00:00-06:00	47
12	1663092000.0	2022-09-13T12:00:00-06:00	46
13	1663095600.0	2022-09-13T13:00:00-06:00	37
14	1663099200.0	2022-09-13T14:00:00-06:00	47
15	1663102800.0	2022-09-13T15:00:00-06:00	56
16	1663106400.0	2022-09-13T16:00:00-06:00	74
17	1663110000.0	2022-09-13T17:00:00-06:00	86
18	1663113600.0	2022-09-13T18:00:00-06:00	85
19	1663117200.0	2022-09-13T19:00:00-06:00	72
20	1663120800.0	2022-09-13T20:00:00-06:00	59
21	1663124400.0	2022-09-13T21:00:00-06:00	23
22	1663128000.0	2022-09-13T22:00:00-06:00	1
#203f351c07941470dbf57d4bf5f37756
