# MIX San Cristóbal
# Hora del script: 2022-08-04T12:02:07.856980-06:00
# Actualización del servidor: 2022-08-04T14:42:57.959-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1659520800.0	2022-08-03T04:00:00-06:00	25
5	1659524400.0	2022-08-03T05:00:00-06:00	49
6	1659528000.0	2022-08-03T06:00:00-06:00	52
7	1659531600.0	2022-08-03T07:00:00-06:00	48
8	1659535200.0	2022-08-03T08:00:00-06:00	47
9	1659538800.0	2022-08-03T09:00:00-06:00	46
10	1659542400.0	2022-08-03T10:00:00-06:00	49
11	1659546000.0	2022-08-03T11:00:00-06:00	49
12	1659549600.0	2022-08-03T12:00:00-06:00	44
13	1659553200.0	2022-08-03T13:00:00-06:00	38
14	1659556800.0	2022-08-03T14:00:00-06:00	52
15	1659560400.0	2022-08-03T15:00:00-06:00	63
16	1659564000.0	2022-08-03T16:00:00-06:00	87
17	1659567600.0	2022-08-03T17:00:00-06:00	91
18	1659571200.0	2022-08-03T18:00:00-06:00	90
19	1659574800.0	2022-08-03T19:00:00-06:00	78
20	1659578400.0	2022-08-03T20:00:00-06:00	66
21	1659582000.0	2022-08-03T21:00:00-06:00	25
22	1659585600.0	2022-08-03T22:00:00-06:00	1
#8af35010e7d6804cf98dccff8524bca6
