# Tikal Futura
# Hora del script: 2023-01-08T23:02:14.668151-06:00
# Actualización del servidor: 2023-01-09T02:02:13.104-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1672999200.0	2023-01-06T04:00:00-06:00	17
5	1673002800.0	2023-01-06T05:00:00-06:00	29
6	1673006400.0	2023-01-06T06:00:00-06:00	25
7	1673010000.0	2023-01-06T07:00:00-06:00	17
8	1673013600.0	2023-01-06T08:00:00-06:00	19
9	1673017200.0	2023-01-06T09:00:00-06:00	22
10	1673020800.0	2023-01-06T10:00:00-06:00	30
11	1673024400.0	2023-01-06T11:00:00-06:00	28
12	1673028000.0	2023-01-06T12:00:00-06:00	26
13	1673031600.0	2023-01-06T13:00:00-06:00	19
14	1673035200.0	2023-01-06T14:00:00-06:00	20
15	1673038800.0	2023-01-06T15:00:00-06:00	27
16	1673042400.0	2023-01-06T16:00:00-06:00	35
17	1673046000.0	2023-01-06T17:00:00-06:00	49
18	1673049600.0	2023-01-06T18:00:00-06:00	48
19	1673053200.0	2023-01-06T19:00:00-06:00	35
20	1673056800.0	2023-01-06T20:00:00-06:00	21
21	1673060400.0	2023-01-06T21:00:00-06:00	7
22	1673064000.0	2023-01-06T22:00:00-06:00	1
#5b45b07ed2c8fa2eb28d8a49caa38393
