# MIRAFLORES
# Hora del script: 2022-09-22T23:02:15.938241-06:00
# Actualización del servidor: 2022-09-22T23:28:45.999-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1663754400.0	2022-09-21T04:00:00-06:00	2
5	1663758000.0	2022-09-21T05:00:00-06:00	4
6	1663761600.0	2022-09-21T06:00:00-06:00	5
7	1663765200.0	2022-09-21T07:00:00-06:00	6
8	1663768800.0	2022-09-21T08:00:00-06:00	8
9	1663772400.0	2022-09-21T09:00:00-06:00	9
10	1663776000.0	2022-09-21T10:00:00-06:00	10
11	1663779600.0	2022-09-21T11:00:00-06:00	11
12	1663783200.0	2022-09-21T12:00:00-06:00	9
13	1663786800.0	2022-09-21T13:00:00-06:00	7
14	1663790400.0	2022-09-21T14:00:00-06:00	8
15	1663794000.0	2022-09-21T15:00:00-06:00	8
16	1663797600.0	2022-09-21T16:00:00-06:00	11
17	1663801200.0	2022-09-21T17:00:00-06:00	15
18	1663804800.0	2022-09-21T18:00:00-06:00	17
19	1663808400.0	2022-09-21T19:00:00-06:00	14
20	1663812000.0	2022-09-21T20:00:00-06:00	9
21	1663815600.0	2022-09-21T21:00:00-06:00	3
22	1663819200.0	2022-09-21T22:00:00-06:00	1
#cc7672f6b8661ebccbbb36688713fa50
