# Miraflores
# Hora del script: 2022-10-17T12:02:15.791219-06:00
# Actualización del servidor: 2022-10-17T14:09:03.555-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1665741600.0	2022-10-14T04:00:00-06:00	15
5	1665745200.0	2022-10-14T05:00:00-06:00	27
6	1665748800.0	2022-10-14T06:00:00-06:00	21
7	1665752400.0	2022-10-14T07:00:00-06:00	20
8	1665756000.0	2022-10-14T08:00:00-06:00	25
9	1665759600.0	2022-10-14T09:00:00-06:00	23
10	1665763200.0	2022-10-14T10:00:00-06:00	28
11	1665766800.0	2022-10-14T11:00:00-06:00	29
12	1665770400.0	2022-10-14T12:00:00-06:00	27
13	1665774000.0	2022-10-14T13:00:00-06:00	24
14	1665777600.0	2022-10-14T14:00:00-06:00	26
15	1665781200.0	2022-10-14T15:00:00-06:00	32
16	1665784800.0	2022-10-14T16:00:00-06:00	46
17	1665788400.0	2022-10-14T17:00:00-06:00	54
18	1665792000.0	2022-10-14T18:00:00-06:00	63
19	1665795600.0	2022-10-14T19:00:00-06:00	53
20	1665799200.0	2022-10-14T20:00:00-06:00	37
21	1665802800.0	2022-10-14T21:00:00-06:00	12
22	1665806400.0	2022-10-14T22:00:00-06:00	1
#b58d2e79fa139c05920961b9193e61d3
