# Eskala
# Hora del script: 2023-02-01T12:02:18.504109-06:00
# Actualización del servidor: 2023-02-01T15:02:16.771-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1675159200.0	2023-01-31T04:00:00-06:00	22
5	1675162800.0	2023-01-31T05:00:00-06:00	52
6	1675166400.0	2023-01-31T06:00:00-06:00	48
7	1675170000.0	2023-01-31T07:00:00-06:00	50
8	1675173600.0	2023-01-31T08:00:00-06:00	41
9	1675177200.0	2023-01-31T09:00:00-06:00	35
10	1675180800.0	2023-01-31T10:00:00-06:00	47
11	1675184400.0	2023-01-31T11:00:00-06:00	48
12	1675188000.0	2023-01-31T12:00:00-06:00	44
13	1675191600.0	2023-01-31T13:00:00-06:00	33
14	1675195200.0	2023-01-31T14:00:00-06:00	34
15	1675198800.0	2023-01-31T15:00:00-06:00	52
16	1675202400.0	2023-01-31T16:00:00-06:00	72
17	1675206000.0	2023-01-31T17:00:00-06:00	87
18	1675209600.0	2023-01-31T18:00:00-06:00	94
19	1675213200.0	2023-01-31T19:00:00-06:00	78
20	1675216800.0	2023-01-31T20:00:00-06:00	66
21	1675220400.0	2023-01-31T21:00:00-06:00	18
22	1675224000.0	2023-01-31T22:00:00-06:00	3
#9e5cc293e150756a216f35212f32dd06
