# Miraflores
# Hora del script: 2022-11-24T12:02:12.313232-06:00
# Actualización del servidor: 2022-11-24T14:11:43.875-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1669197600.0	2022-11-23T04:00:00-06:00	19
5	1669201200.0	2022-11-23T05:00:00-06:00	37
6	1669204800.0	2022-11-23T06:00:00-06:00	23
7	1669208400.0	2022-11-23T07:00:00-06:00	23
8	1669212000.0	2022-11-23T08:00:00-06:00	25
9	1669215600.0	2022-11-23T09:00:00-06:00	24
10	1669219200.0	2022-11-23T10:00:00-06:00	29
11	1669222800.0	2022-11-23T11:00:00-06:00	28
12	1669226400.0	2022-11-23T12:00:00-06:00	28
13	1669230000.0	2022-11-23T13:00:00-06:00	26
14	1669233600.0	2022-11-23T14:00:00-06:00	23
15	1669237200.0	2022-11-23T15:00:00-06:00	33
16	1669240800.0	2022-11-23T16:00:00-06:00	45
17	1669244400.0	2022-11-23T17:00:00-06:00	63
18	1669248000.0	2022-11-23T18:00:00-06:00	65
19	1669251600.0	2022-11-23T19:00:00-06:00	59
20	1669255200.0	2022-11-23T20:00:00-06:00	40
21	1669258800.0	2022-11-23T21:00:00-06:00	18
22	1669262400.0	2022-11-23T22:00:00-06:00	1
#910cbd306fa0e3f82beb491fe1afb07e
