# MIX San Cristóbal
# Hora del script: 2022-08-16T12:02:11.114486-06:00
# Actualización del servidor: 2022-08-16T12:00:33.661-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1660557600.0	2022-08-15T04:00:00-06:00	25
5	1660561200.0	2022-08-15T05:00:00-06:00	45
6	1660564800.0	2022-08-15T06:00:00-06:00	48
7	1660568400.0	2022-08-15T07:00:00-06:00	47
8	1660572000.0	2022-08-15T08:00:00-06:00	48
9	1660575600.0	2022-08-15T09:00:00-06:00	47
10	1660579200.0	2022-08-15T10:00:00-06:00	52
11	1660582800.0	2022-08-15T11:00:00-06:00	50
12	1660586400.0	2022-08-15T12:00:00-06:00	45
13	1660590000.0	2022-08-15T13:00:00-06:00	39
14	1660593600.0	2022-08-15T14:00:00-06:00	50
15	1660597200.0	2022-08-15T15:00:00-06:00	58
16	1660600800.0	2022-08-15T16:00:00-06:00	80
17	1660604400.0	2022-08-15T17:00:00-06:00	80
18	1660608000.0	2022-08-15T18:00:00-06:00	81
19	1660611600.0	2022-08-15T19:00:00-06:00	74
20	1660615200.0	2022-08-15T20:00:00-06:00	62
21	1660618800.0	2022-08-15T21:00:00-06:00	24
22	1660622400.0	2022-08-15T22:00:00-06:00	1
#24bf3370021c23bd8cf232c751709f5b
