# Tikal Futura
# Hora del script: 2022-10-29T12:02:11.220421-06:00
# Actualización del servidor: 2022-10-29T12:46:14.283-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1666951200.0	2022-10-28T04:00:00-06:00	25
5	1666954800.0	2022-10-28T05:00:00-06:00	51
6	1666958400.0	2022-10-28T06:00:00-06:00	38
7	1666962000.0	2022-10-28T07:00:00-06:00	33
8	1666965600.0	2022-10-28T08:00:00-06:00	30
9	1666969200.0	2022-10-28T09:00:00-06:00	31
10	1666972800.0	2022-10-28T10:00:00-06:00	38
11	1666976400.0	2022-10-28T11:00:00-06:00	37
12	1666980000.0	2022-10-28T12:00:00-06:00	35
13	1666983600.0	2022-10-28T13:00:00-06:00	28
14	1666987200.0	2022-10-28T14:00:00-06:00	27
15	1666990800.0	2022-10-28T15:00:00-06:00	38
16	1666994400.0	2022-10-28T16:00:00-06:00	55
17	1666998000.0	2022-10-28T17:00:00-06:00	76
18	1667001600.0	2022-10-28T18:00:00-06:00	71
19	1667005200.0	2022-10-28T19:00:00-06:00	50
20	1667008800.0	2022-10-28T20:00:00-06:00	38
21	1667012400.0	2022-10-28T21:00:00-06:00	11
22	1667016000.0	2022-10-28T22:00:00-06:00	1
#33ca85c41819a9956647c905c82f1d55
