# Tikal Futura
# Hora del script: 2023-01-12T23:02:09.327003-06:00
# Actualización del servidor: 2023-01-13T01:56:40.147-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1673431200.0	2023-01-11T04:00:00-06:00	20
5	1673434800.0	2023-01-11T05:00:00-06:00	32
6	1673438400.0	2023-01-11T06:00:00-06:00	26
7	1673442000.0	2023-01-11T07:00:00-06:00	18
8	1673445600.0	2023-01-11T08:00:00-06:00	21
9	1673449200.0	2023-01-11T09:00:00-06:00	23
10	1673452800.0	2023-01-11T10:00:00-06:00	32
11	1673456400.0	2023-01-11T11:00:00-06:00	29
12	1673460000.0	2023-01-11T12:00:00-06:00	27
13	1673463600.0	2023-01-11T13:00:00-06:00	20
14	1673467200.0	2023-01-11T14:00:00-06:00	20
15	1673470800.0	2023-01-11T15:00:00-06:00	29
16	1673474400.0	2023-01-11T16:00:00-06:00	40
17	1673478000.0	2023-01-11T17:00:00-06:00	59
18	1673481600.0	2023-01-11T18:00:00-06:00	55
19	1673485200.0	2023-01-11T19:00:00-06:00	41
20	1673488800.0	2023-01-11T20:00:00-06:00	25
21	1673492400.0	2023-01-11T21:00:00-06:00	9
22	1673496000.0	2023-01-11T22:00:00-06:00	1
#aadd92a86f4efc5a87f1e4db105f7936
