# MIX San Cristóbal
# Hora del script: 2022-11-16T12:02:10.785703-06:00
# Actualización del servidor: 2022-11-16T15:02:09.312-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1668506400.0	2022-11-15T04:00:00-06:00	22
5	1668510000.0	2022-11-15T05:00:00-06:00	39
6	1668513600.0	2022-11-15T06:00:00-06:00	44
7	1668517200.0	2022-11-15T07:00:00-06:00	53
8	1668520800.0	2022-11-15T08:00:00-06:00	47
9	1668524400.0	2022-11-15T09:00:00-06:00	51
10	1668528000.0	2022-11-15T10:00:00-06:00	53
11	1668531600.0	2022-11-15T11:00:00-06:00	52
12	1668535200.0	2022-11-15T12:00:00-06:00	45
13	1668538800.0	2022-11-15T13:00:00-06:00	34
14	1668542400.0	2022-11-15T14:00:00-06:00	36
15	1668546000.0	2022-11-15T15:00:00-06:00	44
16	1668549600.0	2022-11-15T16:00:00-06:00	66
17	1668553200.0	2022-11-15T17:00:00-06:00	72
18	1668556800.0	2022-11-15T18:00:00-06:00	72
19	1668560400.0	2022-11-15T19:00:00-06:00	60
20	1668564000.0	2022-11-15T20:00:00-06:00	46
21	1668567600.0	2022-11-15T21:00:00-06:00	16
22	1668571200.0	2022-11-15T22:00:00-06:00	1
#9e07918570c80ca7dddfae03243d54da
