# Tikal Futura
# Hora del script: 2022-09-06T23:02:11.157436-06:00
# Actualización del servidor: 2022-09-06T21:33:10.422-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1662372000.0	2022-09-05T04:00:00-06:00	35
5	1662375600.0	2022-09-05T05:00:00-06:00	61
6	1662379200.0	2022-09-05T06:00:00-06:00	54
7	1662382800.0	2022-09-05T07:00:00-06:00	48
8	1662386400.0	2022-09-05T08:00:00-06:00	50
9	1662390000.0	2022-09-05T09:00:00-06:00	50
10	1662393600.0	2022-09-05T10:00:00-06:00	59
11	1662397200.0	2022-09-05T11:00:00-06:00	55
12	1662400800.0	2022-09-05T12:00:00-06:00	52
13	1662404400.0	2022-09-05T13:00:00-06:00	44
14	1662408000.0	2022-09-05T14:00:00-06:00	48
15	1662411600.0	2022-09-05T15:00:00-06:00	58
16	1662415200.0	2022-09-05T16:00:00-06:00	65
17	1662418800.0	2022-09-05T17:00:00-06:00	93
18	1662422400.0	2022-09-05T18:00:00-06:00	90
19	1662426000.0	2022-09-05T19:00:00-06:00	73
20	1662429600.0	2022-09-05T20:00:00-06:00	59
21	1662433200.0	2022-09-05T21:00:00-06:00	18
22	1662436800.0	2022-09-05T22:00:00-06:00	1
#2109f45df7fe8b0cf9931d716feb2358
