# Tikal Futura
# Hora del script: 2022-09-13T23:02:13.843485-06:00
# Actualización del servidor: 2022-09-14T01:20:09.538-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1662976800.0	2022-09-12T04:00:00-06:00	36
5	1662980400.0	2022-09-12T05:00:00-06:00	62
6	1662984000.0	2022-09-12T06:00:00-06:00	56
7	1662987600.0	2022-09-12T07:00:00-06:00	49
8	1662991200.0	2022-09-12T08:00:00-06:00	50
9	1662994800.0	2022-09-12T09:00:00-06:00	51
10	1662998400.0	2022-09-12T10:00:00-06:00	60
11	1663002000.0	2022-09-12T11:00:00-06:00	57
12	1663005600.0	2022-09-12T12:00:00-06:00	51
13	1663009200.0	2022-09-12T13:00:00-06:00	43
14	1663012800.0	2022-09-12T14:00:00-06:00	47
15	1663016400.0	2022-09-12T15:00:00-06:00	57
16	1663020000.0	2022-09-12T16:00:00-06:00	66
17	1663023600.0	2022-09-12T17:00:00-06:00	95
18	1663027200.0	2022-09-12T18:00:00-06:00	92
19	1663030800.0	2022-09-12T19:00:00-06:00	73
20	1663034400.0	2022-09-12T20:00:00-06:00	61
21	1663038000.0	2022-09-12T21:00:00-06:00	19
22	1663041600.0	2022-09-12T22:00:00-06:00	1
#4fc921dd423dc326a117c9eae612cd86
