# Tikal Futura
# Hora del script: 2023-01-24T23:02:15.168807-06:00
# Actualización del servidor: 2023-01-24T22:49:31.101-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674468000.0	2023-01-23T04:00:00-06:00	23
5	1674471600.0	2023-01-23T05:00:00-06:00	35
6	1674475200.0	2023-01-23T06:00:00-06:00	30
7	1674478800.0	2023-01-23T07:00:00-06:00	22
8	1674482400.0	2023-01-23T08:00:00-06:00	26
9	1674486000.0	2023-01-23T09:00:00-06:00	27
10	1674489600.0	2023-01-23T10:00:00-06:00	34
11	1674493200.0	2023-01-23T11:00:00-06:00	31
12	1674496800.0	2023-01-23T12:00:00-06:00	29
13	1674500400.0	2023-01-23T13:00:00-06:00	23
14	1674504000.0	2023-01-23T14:00:00-06:00	22
15	1674507600.0	2023-01-23T15:00:00-06:00	32
16	1674511200.0	2023-01-23T16:00:00-06:00	44
17	1674514800.0	2023-01-23T17:00:00-06:00	74
18	1674518400.0	2023-01-23T18:00:00-06:00	62
19	1674522000.0	2023-01-23T19:00:00-06:00	47
20	1674525600.0	2023-01-23T20:00:00-06:00	31
21	1674529200.0	2023-01-23T21:00:00-06:00	9
22	1674532800.0	2023-01-23T22:00:00-06:00	1
#8a05ea87662f045cbde7b472956d59e3
