# Eskala
# Hora del script: 2022-12-26T23:02:17.384525-06:00
# Actualización del servidor: 2022-12-27T01:08:50.694-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1671789600.0	2022-12-23T04:00:00-06:00	12
5	1671793200.0	2022-12-23T05:00:00-06:00	27
6	1671796800.0	2022-12-23T06:00:00-06:00	33
7	1671800400.0	2022-12-23T07:00:00-06:00	34
8	1671804000.0	2022-12-23T08:00:00-06:00	30
9	1671807600.0	2022-12-23T09:00:00-06:00	24
10	1671811200.0	2022-12-23T10:00:00-06:00	32
11	1671814800.0	2022-12-23T11:00:00-06:00	34
12	1671818400.0	2022-12-23T12:00:00-06:00	30
13	1671822000.0	2022-12-23T13:00:00-06:00	20
14	1671825600.0	2022-12-23T14:00:00-06:00	20
15	1671829200.0	2022-12-23T15:00:00-06:00	32
16	1671832800.0	2022-12-23T16:00:00-06:00	39
17	1671836400.0	2022-12-23T17:00:00-06:00	53
18	1671840000.0	2022-12-23T18:00:00-06:00	55
19	1671843600.0	2022-12-23T19:00:00-06:00	47
20	1671847200.0	2022-12-23T20:00:00-06:00	40
21	1671850800.0	2022-12-23T21:00:00-06:00	12
22	1671854400.0	2022-12-23T22:00:00-06:00	2
#0a6686dec1ab5b697d4c1ed7972ed010
