# Tikal Futura
# Hora del script: 2022-10-04T23:02:14.008895-06:00
# Actualización del servidor: 2022-10-05T01:44:08.533-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1664791200.0	2022-10-03T04:00:00-06:00	28
5	1664794800.0	2022-10-03T05:00:00-06:00	53
6	1664798400.0	2022-10-03T06:00:00-06:00	43
7	1664802000.0	2022-10-03T07:00:00-06:00	39
8	1664805600.0	2022-10-03T08:00:00-06:00	38
9	1664809200.0	2022-10-03T09:00:00-06:00	39
10	1664812800.0	2022-10-03T10:00:00-06:00	45
11	1664816400.0	2022-10-03T11:00:00-06:00	46
12	1664820000.0	2022-10-03T12:00:00-06:00	40
13	1664823600.0	2022-10-03T13:00:00-06:00	30
14	1664827200.0	2022-10-03T14:00:00-06:00	32
15	1664830800.0	2022-10-03T15:00:00-06:00	44
16	1664834400.0	2022-10-03T16:00:00-06:00	54
17	1664838000.0	2022-10-03T17:00:00-06:00	82
18	1664841600.0	2022-10-03T18:00:00-06:00	77
19	1664845200.0	2022-10-03T19:00:00-06:00	59
20	1664848800.0	2022-10-03T20:00:00-06:00	44
21	1664852400.0	2022-10-03T21:00:00-06:00	16
22	1664856000.0	2022-10-03T22:00:00-06:00	1
#7c8849f05912c0bea7d3bc3b61d15281
