# Tikal Futura
# Hora del script: 2023-02-01T23:02:12.540243-06:00
# Actualización del servidor: 2023-02-02T01:06:34.630-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1675159200.0	2023-01-31T04:00:00-06:00	30
5	1675162800.0	2023-01-31T05:00:00-06:00	44
6	1675166400.0	2023-01-31T06:00:00-06:00	38
7	1675170000.0	2023-01-31T07:00:00-06:00	28
8	1675173600.0	2023-01-31T08:00:00-06:00	32
9	1675177200.0	2023-01-31T09:00:00-06:00	30
10	1675180800.0	2023-01-31T10:00:00-06:00	36
11	1675184400.0	2023-01-31T11:00:00-06:00	36
12	1675188000.0	2023-01-31T12:00:00-06:00	33
13	1675191600.0	2023-01-31T13:00:00-06:00	25
14	1675195200.0	2023-01-31T14:00:00-06:00	24
15	1675198800.0	2023-01-31T15:00:00-06:00	36
16	1675202400.0	2023-01-31T16:00:00-06:00	51
17	1675206000.0	2023-01-31T17:00:00-06:00	89
18	1675209600.0	2023-01-31T18:00:00-06:00	72
19	1675213200.0	2023-01-31T19:00:00-06:00	57
20	1675216800.0	2023-01-31T20:00:00-06:00	38
21	1675220400.0	2023-01-31T21:00:00-06:00	12
22	1675224000.0	2023-01-31T22:00:00-06:00	1
#56e9c3ccb2bbec60bc7306ee223616bb
