# Tikal Futura
# Hora del script: 2022-12-23T12:02:14.953561-06:00
# Actualización del servidor: 2022-12-23T15:02:13.309-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1671703200.0	2022-12-22T04:00:00-06:00	19
5	1671706800.0	2022-12-22T05:00:00-06:00	36
6	1671710400.0	2022-12-22T06:00:00-06:00	30
7	1671714000.0	2022-12-22T07:00:00-06:00	20
8	1671717600.0	2022-12-22T08:00:00-06:00	24
9	1671721200.0	2022-12-22T09:00:00-06:00	24
10	1671724800.0	2022-12-22T10:00:00-06:00	30
11	1671728400.0	2022-12-22T11:00:00-06:00	29
12	1671732000.0	2022-12-22T12:00:00-06:00	26
13	1671735600.0	2022-12-22T13:00:00-06:00	18
14	1671739200.0	2022-12-22T14:00:00-06:00	20
15	1671742800.0	2022-12-22T15:00:00-06:00	31
16	1671746400.0	2022-12-22T16:00:00-06:00	38
17	1671750000.0	2022-12-22T17:00:00-06:00	55
18	1671753600.0	2022-12-22T18:00:00-06:00	52
19	1671757200.0	2022-12-22T19:00:00-06:00	41
20	1671760800.0	2022-12-22T20:00:00-06:00	26
21	1671764400.0	2022-12-22T21:00:00-06:00	9
22	1671768000.0	2022-12-22T22:00:00-06:00	1
#959dee5e75d59b6ac56ae2ffc6800ca1
