# MIX San Cristóbal
# Hora del script: 2022-09-18T23:02:11.553517-06:00
# Actualización del servidor: 2022-09-19T02:02:09.988-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1663322400.0	2022-09-16T04:00:00-06:00	31
5	1663326000.0	2022-09-16T05:00:00-06:00	42
6	1663329600.0	2022-09-16T06:00:00-06:00	40
7	1663333200.0	2022-09-16T07:00:00-06:00	48
8	1663336800.0	2022-09-16T08:00:00-06:00	48
9	1663340400.0	2022-09-16T09:00:00-06:00	49
10	1663344000.0	2022-09-16T10:00:00-06:00	54
11	1663347600.0	2022-09-16T11:00:00-06:00	48
12	1663351200.0	2022-09-16T12:00:00-06:00	47
13	1663354800.0	2022-09-16T13:00:00-06:00	35
14	1663358400.0	2022-09-16T14:00:00-06:00	45
15	1663362000.0	2022-09-16T15:00:00-06:00	52
16	1663365600.0	2022-09-16T16:00:00-06:00	69
17	1663369200.0	2022-09-16T17:00:00-06:00	83
18	1663372800.0	2022-09-16T18:00:00-06:00	82
19	1663376400.0	2022-09-16T19:00:00-06:00	69
20	1663380000.0	2022-09-16T20:00:00-06:00	56
21	1663383600.0	2022-09-16T21:00:00-06:00	21
22	1663387200.0	2022-09-16T22:00:00-06:00	1
#c4b98ea00d6a66dcb3fc4141b8062968
