# Miraflores
# Hora del script: 2023-01-24T12:02:16.742461-06:00
# Actualización del servidor: 2023-01-24T15:02:14.930-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1674468000.0	2023-01-23T04:00:00-06:00	10
5	1674471600.0	2023-01-23T05:00:00-06:00	24
6	1674475200.0	2023-01-23T06:00:00-06:00	17
7	1674478800.0	2023-01-23T07:00:00-06:00	20
8	1674482400.0	2023-01-23T08:00:00-06:00	19
9	1674486000.0	2023-01-23T09:00:00-06:00	20
10	1674489600.0	2023-01-23T10:00:00-06:00	27
11	1674493200.0	2023-01-23T11:00:00-06:00	28
12	1674496800.0	2023-01-23T12:00:00-06:00	24
13	1674500400.0	2023-01-23T13:00:00-06:00	23
14	1674504000.0	2023-01-23T14:00:00-06:00	22
15	1674507600.0	2023-01-23T15:00:00-06:00	27
16	1674511200.0	2023-01-23T16:00:00-06:00	38
17	1674514800.0	2023-01-23T17:00:00-06:00	56
18	1674518400.0	2023-01-23T18:00:00-06:00	51
19	1674522000.0	2023-01-23T19:00:00-06:00	50
20	1674525600.0	2023-01-23T20:00:00-06:00	31
21	1674529200.0	2023-01-23T21:00:00-06:00	13
22	1674532800.0	2023-01-23T22:00:00-06:00	1
#53e2ed7ff9478bb1ed25ce50b92ae8e7
