# Semana (1-53) 	 Promedio 	 Error
28	868.5	19.445436482630054
29	922.0	30.364452901377952
30	916.0	14.849242404917497
31	974.0	18.384776310850235
32	1036.0	32.18695387886216
33	981.5	18.031222920256962
34	991.5	3.8890872965260113
35	1019.5	3.181980515339464
36	950.0	21.51485275080657
37	931.3333333333334	6.949553676049729
38	903.5	13.081475451951128
39	913.0	30.215889859476256
40	835.5	20.85965004500315
41	829.5	13.081475451951128
42	865.5	15.909902576697318
43	878.0	10.606601717798211
44	882.0	29.698484809834994
45	849.5	20.85965004500315
46	839.5	9.54594154601839
47	826.5	32.17335854398791
48	836.0	28.91366458960192
49	790.0	4.242640687119285
50	738.5	28.63782463805517
51	704.0	26.5329983228432
52	640.0	6.363961030678928
101	637.5	6.717514421272201
102	697.5	13.081475451951128
103	803.0	28.337254630609507
104	841.5	32.880465325174455
105	921.5	0.35355339059327373
106	915.5	30.759144981614813
